id,lesson_id,stage_id,route_id,title,drill_type,target_skill,skill_category,difficulty,order_index,prerequisites,instructions,coach_cues,expected_mistakes,correction_cues,pass_criteria,fail_criteria,repetition_count,suggested_duration,rest_duration,scoring_logic,mastery_threshold,safety_notes
D001,S1_L01,S1,R1,Reference Match 1,match_note,single_note_matching,pitch_accuracy,easy,1,[],"Listen to the reference, then sing the same pitch and settle in the center. Use the reference replay if needed.","[""listen first, then sing"", ""adjust slowly not suddenly""]","[""guessing the note"", ""overshooting the target"", ""starting too breathy""]","[""listen twice before singing"", ""slide slowly toward the center"", ""use a clean gentle onset""]",score >= threshold AND time_in_good_zone_ms >= 800,score < 72 OR low_confidence_cap_triggered,5,2m 30s,30s,"{""weights"": {""accuracy"": 0.4, ""control"": 0.2, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""mean_abs_cents"", ""time_in_good_zone_ms"", ""entry_time_ms"", ""overshoot_events"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND time_in_good_zone_ms >= 800""}",72,"[""stop if throat feels squeezed"", ""use a comfortable speaking-level volume""]"
D002,S1_L01,S1,R3,Center the Pitch 1,match_note,single_note_matching,pitch_accuracy,easy,2,"[""D001""]","Listen to the reference, then sing the same pitch and settle in the center. Use the reference replay if needed.","[""listen first, then sing"", ""adjust slowly not suddenly""]","[""guessing the note"", ""overshooting the target"", ""starting too breathy""]","[""listen twice before singing"", ""slide slowly toward the center"", ""use a clean gentle onset""]",score >= threshold AND time_in_good_zone_ms >= 800,score < 72 OR low_confidence_cap_triggered,6,2m 40s,30s,"{""weights"": {""accuracy"": 0.4, ""control"": 0.2, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""mean_abs_cents"", ""time_in_good_zone_ms"", ""entry_time_ms"", ""overshoot_events"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND time_in_good_zone_ms >= 800""}",72,"[""stop if throat feels squeezed"", ""use a comfortable speaking-level volume""]"
D003,S1_L01,S1,R1,Safe Short Run 1,confidence_rep,recording_confidence,performance_confidence,easy,3,"[""D002""]",Complete the short rep from start to finish without stopping yourself. Use the reference replay if needed.,"[""finish the rep even if imperfect"", ""treat this as a safe practice try""]","[""stopping early"", ""singing too quietly to be detected"", ""self-interrupting""]","[""commit to the full short rep"", ""use speaking-level clarity"", ""treat it as practice not performance""]",score >= threshold AND abort_flag = false,score < 72 OR low_confidence_cap_triggered,3,2m 50s,30s,"{""weights"": {""completion"": 0.4, ""confidence"": 0.2, ""accuracy"": 0.15, ""control"": 0.15, ""expression"": 0.1}, ""metrics"": [""completion_ratio"", ""abort_flag"", ""voiced_ratio"", ""mean_abs_cents"", ""self_interrupt_count""], ""pass_rule"": ""score >= threshold AND abort_flag = false""}",72,"[""keep volume comfortable"", ""pause if anxiety spikes""]"
D004,S1_L01,S1,R4,Settle on the Note 1,match_note,single_note_matching,pitch_accuracy,easy,4,"[""D003""]","Listen to the reference, then sing the same pitch and settle in the center. Use the reference replay if needed.","[""listen first, then sing"", ""adjust slowly not suddenly""]","[""guessing the note"", ""overshooting the target"", ""starting too breathy""]","[""listen twice before singing"", ""slide slowly toward the center"", ""use a clean gentle onset""]",score >= threshold AND time_in_good_zone_ms >= 800,score < 72 OR low_confidence_cap_triggered,5,3m 0s,30s,"{""weights"": {""accuracy"": 0.4, ""control"": 0.2, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""mean_abs_cents"", ""time_in_good_zone_ms"", ""entry_time_ms"", ""overshoot_events"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND time_in_good_zone_ms >= 800""}",72,"[""stop if throat feels squeezed"", ""use a comfortable speaking-level volume""]"
D005,S1_L01,S1,R3,Support the Note 1,sustain_hold,sustain_control,pitch_stability,easy,5,"[""D004""]",Sing the target note and keep it steady for the full hold. Use the reference replay if needed.,"[""steady airflow"", ""keep the sound calm and centered""]","[""pitch drift"", ""running out of air early"", ""jaw tension""]","[""steady your airflow"", ""release the jaw and tongue"", ""aim for a smaller steadier sound""]",score >= threshold AND held_duration_ms >= target_hold_ms * 0.8; target_hold_ms = 2200,score < 72 OR low_confidence_cap_triggered,5,3m 10s,30s,"{""weights"": {""accuracy"": 0.25, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.15}, ""metrics"": [""mean_abs_cents"", ""stability_stddev_cents"", ""held_duration_ms"", ""time_in_good_zone_ms"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND held_duration_ms >= target_hold_ms * 0.8""}",72,"[""do not force extra seconds"", ""rest if you feel breathless""]"
D006,S1_L01,S1,R4,Commit and Complete 1,confidence_rep,recording_confidence,performance_confidence,easy,6,"[""D005""]",Complete the short rep from start to finish without stopping yourself. Use the reference replay if needed.,"[""finish the rep even if imperfect"", ""treat this as a safe practice try""]","[""stopping early"", ""singing too quietly to be detected"", ""self-interrupting""]","[""commit to the full short rep"", ""use speaking-level clarity"", ""treat it as practice not performance""]",score >= threshold AND abort_flag = false,score < 72 OR low_confidence_cap_triggered,3,3m 20s,30s,"{""weights"": {""completion"": 0.4, ""confidence"": 0.2, ""accuracy"": 0.15, ""control"": 0.15, ""expression"": 0.1}, ""metrics"": [""completion_ratio"", ""abort_flag"", ""voiced_ratio"", ""mean_abs_cents"", ""self_interrupt_count""], ""pass_rule"": ""score >= threshold AND abort_flag = false""}",72,"[""keep volume comfortable"", ""pause if anxiety spikes""]"
D007,S1_L02,S1,R1,Center the Pitch 2,match_note,single_note_matching,pitch_accuracy,easy,1,[],"Listen to the reference, then sing the same pitch and settle in the center. Use the reference replay if needed.","[""listen first, then sing"", ""adjust slowly not suddenly""]","[""guessing the note"", ""overshooting the target"", ""starting too breathy""]","[""listen twice before singing"", ""slide slowly toward the center"", ""use a clean gentle onset""]",score >= threshold AND time_in_good_zone_ms >= 800,score < 72 OR low_confidence_cap_triggered,5,2m 30s,30s,"{""weights"": {""accuracy"": 0.4, ""control"": 0.2, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""mean_abs_cents"", ""time_in_good_zone_ms"", ""entry_time_ms"", ""overshoot_events"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND time_in_good_zone_ms >= 800""}",72,"[""stop if throat feels squeezed"", ""use a comfortable speaking-level volume""]"
D008,S1_L02,S1,R3,Upward Slide 2,pitch_slide,pitch_entry,pitch_accuracy,easy,2,"[""D007""]","Start below or above the target as prompted, then slide smoothly into tune. Use the reference replay if needed.","[""move continuously"", ""arrive before you hold""]","[""jumping instead of sliding"", ""overshooting above target"", ""uneven airflow""]","[""move continuously not abruptly"", ""arrive and settle before holding"", ""let the breath stay even""]",score >= threshold AND correct_direction = true,score < 72 OR low_confidence_cap_triggered,6,2m 40s,30s,"{""weights"": {""accuracy"": 0.2, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.2}, ""metrics"": [""entry_time_ms"", ""hold_after_entry_ms"", ""slide_jerk_index"", ""correct_direction"", ""final_abs_cents""], ""pass_rule"": ""score >= threshold AND correct_direction = true""}",72,"[""keep slides in a comfortable range"", ""avoid pushing volume at the top of the slide""]"
D009,S1_L02,S1,R1,Settle on the Note 2,match_note,single_note_matching,pitch_accuracy,easy,3,"[""D008""]","Listen to the reference, then sing the same pitch and settle in the center. Use the reference replay if needed.","[""listen first, then sing"", ""adjust slowly not suddenly""]","[""guessing the note"", ""overshooting the target"", ""starting too breathy""]","[""listen twice before singing"", ""slide slowly toward the center"", ""use a clean gentle onset""]",score >= threshold AND time_in_good_zone_ms >= 800,score < 72 OR low_confidence_cap_triggered,4,2m 50s,30s,"{""weights"": {""accuracy"": 0.4, ""control"": 0.2, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""mean_abs_cents"", ""time_in_good_zone_ms"", ""entry_time_ms"", ""overshoot_events"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND time_in_good_zone_ms >= 800""}",72,"[""stop if throat feels squeezed"", ""use a comfortable speaking-level volume""]"
D010,S1_L02,S1,R4,Support the Note 2,sustain_hold,sustain_control,pitch_stability,easy,4,"[""D009""]",Sing the target note and keep it steady for the full hold. Use the reference replay if needed.,"[""steady airflow"", ""keep the sound calm and centered""]","[""pitch drift"", ""running out of air early"", ""jaw tension""]","[""steady your airflow"", ""release the jaw and tongue"", ""aim for a smaller steadier sound""]",score >= threshold AND held_duration_ms >= target_hold_ms * 0.8; target_hold_ms = 1800,score < 72 OR low_confidence_cap_triggered,4,3m 0s,30s,"{""weights"": {""accuracy"": 0.25, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.15}, ""metrics"": [""mean_abs_cents"", ""stability_stddev_cents"", ""held_duration_ms"", ""time_in_good_zone_ms"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND held_duration_ms >= target_hold_ms * 0.8""}",72,"[""do not force extra seconds"", ""rest if you feel breathless""]"
